id,job_title,location,connection,fit,rank
10,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,0.6592806640985701,1
40,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,0.6592806640985701,2
62,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,0.6592806640985701,3
53,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,0.6592806640985701,4
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,Amerika Birleşik Devletleri,415,0.6024088532891235,5
101,Human Resources Generalist at Loparex,"Raleigh-Durham, North Carolina Area",500+ ,0.5837870483760981,6
30,Seeking Human Resources Opportunities,"Chicago, Illinois",390,0.49998639654234217,7
28,Seeking Human Resources Opportunities,"Chicago, Illinois",390,0.49998639654234217,8
78,Human Resources Generalist at Schwan's,Amerika Birleşik Devletleri,500+ ,0.3286496877691124,9
71,"Human Resources Generalist at ScottMadden, Inc.","Raleigh-Durham, North Carolina Area",500+ ,0.3286496877691124,10
99,Seeking Human Resources Position,"Las Vegas, Nevada Area",48,0.29253781817388214,11
29,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,0.26792281079568253,12
27,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,0.26792281079568253,13
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,0.2591181314272155,14
68,Human Resources Specialist at Luxottica,Greater New York City Area,500+ ,0.2228417137933315,15
97,Aspiring Human Resources Professional,"Kokomo, Indiana Area",71,0.22279364802811583,16
17,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,0.21469364802811583,17
58,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,0.21469364802811583,18
21,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,0.21469364802811583,19
46,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,0.21469364802811583,20
33,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,0.21469364802811583,21
3,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,0.21469364802811583,22
52,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,0.2083354208037551,23
39,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,0.2083354208037551,24
25,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,0.2083354208037551,25
50,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,0.2083354208037551,26
9,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,0.2083354208037551,27
7,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,0.2083354208037551,28
37,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,0.2083354208037551,29
56,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,0.2062465492531806,30
43,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,0.2062465492531806,31
13,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,0.2062465492531806,32
65,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,0.2062465492531806,33
67,"Human Resources, Staffing and Recruiting Professional","Jackson, Mississippi Area",500+ ,0.20498931334656614,34
69,"Director of Human Resources North America, Groupe Beneteau","Greater Grand Rapids, Michigan Area",500+ ,0.1922405590418698,35
81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,0.17872518967192902,36
89,Director Human Resources  at EY,Greater Atlanta Area,349,0.17141367243915476,37
36,Aspiring Human Resources Specialist,Greater New York City Area,1,0.17076874563136152,38
49,Aspiring Human Resources Specialist,Greater New York City Area,1,0.17076874563136152,39
60,Aspiring Human Resources Specialist,Greater New York City Area,1,0.17076874563136152,40
24,Aspiring Human Resources Specialist,Greater New York City Area,1,0.17076874563136152,41
6,Aspiring Human Resources Specialist,Greater New York City Area,1,0.17076874563136152,42
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",Dallas/Fort Worth Area,409,0.1548898520987402,43
74,Human Resources Professional,Greater Boston Area,16,0.1544463850135954,44
