id,job_title,location,connection,rank_sbert,fit_sbert,fit_tfidf,rank_tfidf,rank_difference
66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,53,0.536782355594635,0.13613391712362988,76,23
81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,54,0.5348786599636078,0.23130738351389923,34,-20
88,Human Resources Management Major,"Milpitas, California",18,55,0.532706854057312,0.09123816804243297,87,32
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,56,0.511281144618988,0.31525843793432984,10,-46
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.","Virginia Beach, Virginia",82,57,0.5016570201396943,0.09071102866749273,88,31
79,Liberal Arts Major. Aspiring Human Resources Analyst.,"Baton Rouge, Louisiana Area",7,58,0.4821527722358704,0.10456835794859994,86,28
1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,59,0.46615256929397586,0.12959938183580205,78,19
14,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,60,0.46615256929397586,0.12959938183580205,77,17
44,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,61,0.46615256929397586,0.12959938183580205,83,22
57,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,62,0.46615256929397586,0.12959938183580205,81,19
19,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,63,0.46615256929397586,0.12959938183580205,79,16
31,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,64,0.46615256929397586,0.12959938183580205,82,18
15,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,65,0.46615256929397586,0.12959938183580205,80,15
4,People Development Coordinator at Ryan,"Denton, Texas",500+ ,66,0.46525631546974183,0.2,40,-26
18,People Development Coordinator at Ryan,"Denton, Texas",500+ ,67,0.46525631546974183,0.2,43,-24
34,People Development Coordinator at Ryan,"Denton, Texas",500+ ,68,0.46525631546974183,0.2,53,-15
59,People Development Coordinator at Ryan,"Denton, Texas",500+ ,69,0.46525631546974183,0.2,49,-20
22,People Development Coordinator at Ryan,"Denton, Texas",500+ ,70,0.46525631546974183,0.2,44,-26
47,People Development Coordinator at Ryan,"Denton, Texas",500+ ,71,0.46525631546974183,0.2,62,-9
12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,72,0.44893346428871156,0.2,57,-15
55,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,73,0.44893346428871156,0.2,60,-13
64,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,74,0.44893346428871156,0.2,50,-24
42,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,75,0.44893346428871156,0.2,63,-12
84,Human Resources professional for the world leader in GIS software,"Highland, California",50,76,0.44427316308021547,0.07166564069330297,89,13
83,HR Manager at Endemol Shine North America,"Los Angeles, California",268,77,0.43798643679618837,0.10720000000000002,85,8
104,Director Of Administration at Excellence Logging,"Katy, Texas",500+ ,78,0.3884353905916214,0.2,42,-36
5,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,79,0.385459166765213,0.2,46,-33
35,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,80,0.385459166765213,0.2,37,-43
48,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,81,0.385459166765213,0.2,48,-33
23,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,82,0.385459166765213,0.2,55,-27
2,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,83,0.3676605045795441,0.2,39,-44
16,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,84,0.3676605045795441,0.2,58,-26
20,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,85,0.3676605045795441,0.2,56,-29
32,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,86,0.3676605045795441,0.2,52,-34
45,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,87,0.3676605045795441,0.2,59,-28
103,Always set them up for Success,Greater Los Angeles Area,500+ ,88,0.3279779225587845,0.2,41,-47
90,Undergraduate Research Assistant at Styczynski Lab,Greater Atlanta Area,155,89,0.32643859934806824,0.062,90,1
80,Junior MES Engineer| Information Systems,"Myrtle Beach, South Carolina Area",52,90,0.32574233965873717,0.0208,93,3
92,Seeking employment opportunities within Customer Service or Patient Care,"Torrance, California",64,91,0.3036783772468567,0.05168222023798203,91,0
85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),Greater Philadelphia Area,500+ ,92,0.30138773918151857,0.2,47,-45
86,Information Systems Specialist and Programmer with a love for data and organization.,"Gaithersburg, Maryland",4,93,0.28105104241371154,0.0016,100,7
95,Student at Westfield State University,"Bridgewater, Massachusetts",57,94,0.26561154572963713,0.0228,92,-2
63,Student at Chapman University,"Lake Forest, California",2,95,0.2497442080259323,0.0008,102,7
41,Student at Chapman University,"Lake Forest, California",2,96,0.2497442080259323,0.0008,103,7
11,Student at Chapman University,"Lake Forest, California",2,97,0.2497441931247711,0.0008,101,4
54,Student at Chapman University,"Lake Forest, California",2,98,0.2497441931247711,0.0008,104,6
96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint","Lafayette, Indiana",19,99,0.24115138301849365,0.0076,97,-2
91,Lead Official at Western Illinois University,Greater Chicago Area,39,100,0.21920961556434632,0.015600000000000001,96,-4
87,Bachelor of Science in Biology from Victoria University of Wellington,"Baltimore, Maryland",40,101,0.16996639704704286,0.016,95,-6
93,Admissions Representative at Community medical center long beach,"Long Beach, California",9,102,0.14774776861667632,0.0036,98,-4
98,Student,"Houston, Texas Area",4,103,0.12111079219579697,0.0016,99,-4
102,Business Intelligence and Analytics at Travelers,Greater New York City Area,49,104,0.0778391805946827,0.019600000000000003,94,-10
