id,job_title,location,connection,rank_glove,fit_glove,fit_tfidf,rank_tfidf,rank_difference
40,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,1,0.9963099479675293,0.4169508690456814,3,2
10,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,2,0.9963099479675293,0.4169508690456814,4,2
62,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,3,0.9963099479675293,0.4169508690456814,5,2
53,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,4,0.9963099479675293,0.4169508690456814,6,2
67,"Human Resources, Staffing and Recruiting Professional","Jackson, Mississippi Area",500+ ,5,0.9903664112091064,0.26421236194345904,27,22
29,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,6,0.9889050245285034,0.35289885766015744,8,2
27,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,7,0.9889050245285034,0.35289885766015744,7,0
78,Human Resources Generalist at Schwan's,Amerika Birleşik Devletleri,500+ ,8,0.9721111178398132,0.28776393305000736,21,13
101,Human Resources Generalist at Loparex,"Raleigh-Durham, North Carolina Area",500+ ,9,0.9704734206199646,0.28776393305000736,19,10
71,"Human Resources Generalist at ScottMadden, Inc.","Raleigh-Durham, North Carolina Area",500+ ,10,0.9589650750160217,0.28776393305000736,20,10
68,Human Resources Specialist at Luxottica,Greater New York City Area,500+ ,11,0.9559218406677246,0.28505904522212655,22,11
69,"Director of Human Resources North America, Groupe Beneteau","Greater Grand Rapids, Michigan Area",500+ ,12,0.950533640384674,0.24932533070191484,28,16
81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,13,0.9433483667373658,0.23130738351389923,34,21
28,Seeking Human Resources Opportunities,"Chicago, Illinois",390,14,0.939298134803772,0.46100243901176163,1,-13
30,Seeking Human Resources Opportunities,"Chicago, Illinois",390,15,0.939298134803772,0.46100243901176163,2,-13
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,Amerika Birleşik Devletleri,415,16,0.928625515460968,0.3292664869118689,9,-7
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,17,0.9225998044013977,0.31525843793432984,10,-7
56,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,18,0.9043647170066833,0.26568046696552117,26,8
43,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,19,0.9043647170066833,0.26568046696552117,25,6
65,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,20,0.9043647170066833,0.26568046696552117,24,4
13,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,21,0.9043647170066833,0.26568046696552117,23,2
104,Director Of Administration at Excellence Logging,"Katy, Texas",500+ ,22,0.8958136558532714,0.2,42,20
89,Director Human Resources  at EY,Greater Atlanta Area,349,23,0.8887769790649414,0.21750318191903523,35,12
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",Dallas/Fort Worth Area,409,24,0.8737525068283081,0.20118887514822542,36,12
38,HR Senior Specialist,San Francisco Bay Area,500+ ,25,0.8525531411170959,0.2,38,13
26,HR Senior Specialist,San Francisco Bay Area,500+ ,26,0.8525531411170959,0.2,54,28
61,HR Senior Specialist,San Francisco Bay Area,500+ ,27,0.8525531411170959,0.2,51,24
8,HR Senior Specialist,San Francisco Bay Area,500+ ,28,0.8525531411170959,0.2,45,17
51,HR Senior Specialist,San Francisco Bay Area,500+ ,29,0.8525531411170959,0.2,61,32
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,"Austin, Texas Area",174,30,0.8521765013694763,0.16646031247940563,66,36
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,31,0.8380221674919128,0.15955643512957463,75,44
97,Aspiring Human Resources Professional,"Kokomo, Indiana Area",71,32,0.8194392880439758,0.3056803286980959,12,-20
66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,33,0.8151240065574646,0.13613391712362988,76,43
50,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,34,0.8137299460411072,0.16583460370593608,70,36
9,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,35,0.8137299460411072,0.16583460370593608,69,34
25,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,36,0.8137299460411072,0.16583460370593608,71,35
37,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,37,0.8137299460411072,0.16583460370593608,68,31
39,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,38,0.8137299460411072,0.16583460370593608,72,34
7,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,39,0.8137299460411072,0.16583460370593608,67,28
52,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,40,0.8137299460411072,0.16583460370593608,73,33
3,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,41,0.8086392880439758,0.29488032869809594,15,-26
46,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,42,0.8086392880439758,0.29488032869809594,17,-25
